cluster,mot_cle,volume_mensuel,concurrence
passerelle-fr,pain perdu,90500,LOW
passerelle-fr,riz au lait,74000,LOW
cousins-senegalais,dégué,12100,LOW
cousins-senegalais,thiakry,4400,LOW
cousins-senegalais,beignet banane,4400,LOW
passerelle-fr,beignet africain,1900,LOW
cousins-senegalais,lakh,1300,LOW
passerelle-fr,bouillie de mil,1000,LOW
cousins-senegalais,ngalakh,590,LOW
passerelle-fr,dessert sénégalais,480,LOW
passerelle-fr,beignets sénégalais,390,LOW
cousins-senegalais,sombi,390,LOW
passerelle-fr,yaourt aux céréales,40,HIGH
passerelle-fr,goûter africain,20,LOW
cousins-senegalais,sombi riz au lait,10,LOW
cousins-senegalais,mbourou fass,10,LOW
cousins-senegalais,caakiri,10,LOW
cousins-senegalais,bananen beignets,10,UNSPECIFIED
passerelle-fr,porridge de mil,0,UNSPECIFIED
passerelle-fr,crème de mil,0,UNSPECIFIED
cousins-senegalais,filem sombi,0,UNSPECIFIED
cousins-senegalais,lakh sénégalais,0,UNSPECIFIED
cousins-senegalais,ciakri,0,UNSPECIFIED
cousins-senegalais,fondé sénégalais,0,UNSPECIFIED
