rang_playlist,date,vues,fiche_suggeree,texte,statut,lien
1,2025-02-20,1921,,#cejour-là,,https://www.tiktok.com/@seggfaye/video/7473382994393304342
2,2025-02-16,1289,produits/pack-saloum.html,#packguej #packsaloum #packFouta,,https://www.tiktok.com/@seggfaye/video/7472068725294828822
3,2025-02-06,3025,produits/pack-saloum.html,#packguej #packsaloum #packFouta,,https://www.tiktok.com/@seggfaye/video/7468255112171982102
4,2025-04-25,1837,,#mbaxalousaloum,,https://www.tiktok.com/@seggfaye/video/7497207597221547266
5,2025-04-18,1343,,#ngalakh,,https://www.tiktok.com/@seggfaye/video/7494574158114835734
6,2025-04-16,4832,,#ngalakh,,https://www.tiktok.com/@seggfaye/video/7493830281523203350
7,2025-04-10,1467,,duo #maad #packFouta,,https://www.tiktok.com/@seggfaye/video/7491731399351799042
8,2025-02-28,1567,,,,https://www.tiktok.com/@seggfaye/video/7476496214184316182
9,2025-01-28,3111,,LIVE highlights africanfood,,https://www.tiktok.com/@seggfaye/video/7464951277307366679
10,2024-11-30,,produits/pack-saloum.html,LIVE #packgueji #packcbon #packsaloum,,https://www.tiktok.com/@seggfaye/video/7443111240127335712
11,2024-02-20,3619,produits/crevettes-sechees.html,driedshrimps driedfood,,https://www.tiktok.com/@seggfaye/video/7337708335195589921
12,2023-12-08,4319,,plantesmedicinales,,https://www.tiktok.com/@seggfaye/video/7310307949698649376
13,2023-12-09,5961,,driedfood,,https://www.tiktok.com/@seggfaye/video/7310478436500294944
14,2023-11-16,,,Louma SOUM expédition Europe Mondial Relay,,https://www.tiktok.com/@seggfaye/video/7302146364870249761
15,2025-04-01,2550,,LIVE #maad #packFouta,,https://www.tiktok.com/@seggfaye/video/7488354985575566614
16,2025-02-25,1462,,,,https://www.tiktok.com/@seggfaye/video/7475259577437670678
17,2025-01-23,2925,produits/crevettes-sechees.html,driedfish driedshrimps packsaloum,,https://www.tiktok.com/@seggfaye/video/7463083748678978838
18,2024-10-10,1783,,scandinavia stockholm,,https://www.tiktok.com/@seggfaye/video/7424074580639108384
19,2024-10-03,,produits/pack-saloum.html,packsaloum norway danmark suede,,https://www.tiktok.com/@seggfaye/video/7421377188005481760
20,2024-12-31,6550,produits/guej-yass.html,LIVE packgueji packcbon packsaloum dryfish guejiyass,,https://www.tiktok.com/@seggfaye/video/7454455664333688086
21,2024-10-28,,,LIVEFest2024 scandinavia,,https://www.tiktok.com/@seggfaye/video/7430786383578418464
22,2024-10-27,,,LIVEFest2024 scandinavia,,https://www.tiktok.com/@seggfaye/video/7430521117565095201
23,2025-04-10,2008,,#packFouta #diwnior #packcbon,,https://www.tiktok.com/@seggfaye/video/7491725000135724310
24,2025-03-24,2187,produits/guej-beurre.html,#Guejbeurrecasamance #packFouta #packsaloum #packcbon,,https://www.tiktok.com/@seggfaye/video/7485311831939042582
25,2025-02-23,913,produits/pack-saloum.html,#packFouta #packsaloum,,https://www.tiktok.com/@seggfaye/video/7474563180946083094
26,2024-10-26,,,LIVEFest2024 scandinavia,,https://www.tiktok.com/@seggfaye/video/7429956424018496801
27,2023-12-08,2716,,africanfood,,https://www.tiktok.com/@seggfaye/video/7310307152831270176
28,2023-11-28,1705,,#milesdevis #serere,,https://www.tiktok.com/@seggfaye/video/7306485306121915680
29,2025-05-21,1761,,,,https://www.tiktok.com/@seggfaye/video/7506816111711718678
30,2025-02-26,1904,produits/pack-saloum.html,#packFouta #foundiougne #packsaloum #ndiambanedakkar,,https://www.tiktok.com/@seggfaye/video/7475751209371208983
31,2025-04-07,2180,,#packFouta cookie,,https://www.tiktok.com/@seggfaye/video/7490482623156997398
32,2024-10-11,,,scandinavia ara,,https://www.tiktok.com/@seggfaye/video/7424529447920962848
33,2024-08-03,,,Olympics cooking,,https://www.tiktok.com/@seggfaye/video/7398870687219338528
34,2023-12-07,2046,,driedmollusk,,https://www.tiktok.com/@seggfaye/video/7309904824701570337
35,2025-02-26,,produits/pack-saloum.html,#packFouta #foundiougne #packsaloum,,https://www.tiktok.com/@seggfaye/video/7475648788028198166
36,2025-02-16,1314,produits/pack-saloum.html,#packguej #packsaloum #packFouta,,https://www.tiktok.com/@seggfaye/video/7472071666743495958
37,2024-10-29,,,LIVEFest2024 scandinavia,,https://www.tiktok.com/@seggfaye/video/7431197378754923808
38,2024-02-14,6397,,fierdetreserere driedfood,,https://www.tiktok.com/@seggfaye/video/7335427977456471328
39,2024-02-16,17900,produits/crevettes-sechees.html,"driedshrimps GROS HIT 17,9K",,https://www.tiktok.com/@seggfaye/video/7336168246321745184
40,2023-12-14,5253,produits/pack-saloum.html,PACK SALOUM présentation,,https://www.tiktok.com/@seggfaye/video/7312541938811489569
41,2023-12-05,3227,produits/crevettes-sechees.html,driedshrimp,,https://www.tiktok.com/@seggfaye/video/7309177304217963809
42,2025-05-18,1536,produits/pack-saloum.html,#packsaloum,,https://www.tiktok.com/@seggfaye/video/7505742635529817366
43,2025-05-07,2899,,,,https://www.tiktok.com/@seggfaye/video/7501621192344866070
44,2025-03-10,8019,produits/kongfume.html,#kongfumergambie #packsaloum 8K vues,,https://www.tiktok.com/@seggfaye/video/7480100485802888471
