playlist,rang,date,vues,fiche_suggeree,texte,statut,lien
Documentaire,1,2026-04-15,1200,,Les arbres résistants du Sénégal : tamarinier et dattier du désert,,https://www.tiktok.com/@seggfaye/video/7629004208162802966
Documentaire,2,2026-04-18,,,La formatrice Invisible Oubliée Essentielle (femme du nord),,https://www.tiktok.com/@seggfaye/video/7630176701632335107
Documentaire,3,2026-04-19,,,Les arbres protecteurs des cultures et améliorateurs de sol,,https://www.tiktok.com/@seggfaye/video/7630440425341439254
Documentaire,4,2026-04-21,2151,(karité - pas de fiche),Le secret du beurre de karité dans un village bédik,,https://www.tiktok.com/@seggfaye/video/7631274883070086422
Documentaire,5,2026-04-21,167100,,La règle d'or de la pêche durable [PEPITE 167K],,https://www.tiktok.com/@seggfaye/video/7631276119152397590
Documentaire,6,2026-04-22,,,"La règle d'or de la pêche durable, récolte extrême",,https://www.tiktok.com/@seggfaye/video/7631625955827535126
Documentaire,7,2026-04-24,,saloum/ (page Saloum),EP.01 Les Mains du Saloum (îles nées il y a 1000 ans) [Saloum],,https://www.tiktok.com/@seggfaye/video/7632249171151473942
Documentaire,8,2026-04-27,,produits/sauce-netetu-beugeuc.html,"La fabrique de Awa, soumbala authentique",,https://www.tiktok.com/@seggfaye/video/7633363424772132118
Documentaire,9,2026-05-01,,produits/yoxos.html,La stratégie gagnante des femmes ostréicultrices des Îles du Saloum [Saloum],,https://www.tiktok.com/@seggfaye/video/7634949312514051350
Documentaire,10,2026-05-01,782,saloum/ (page Saloum),"Cette énergie est contagieuse, des sérères des Îles du Saloum [Saloum]",,https://www.tiktok.com/@seggfaye/video/7634952279539436822
Documentaire,11,2026-05-11,1220,produits/yoxos.html,mortier-coque1,,https://www.tiktok.com/@seggfaye/video/7638589982705274134
Documentaire,12,2026-05-16,,produits/yoxos.html,coque-dionewar Yafatou plonge dans la vase de la mangrove [Saloum],,https://www.tiktok.com/@seggfaye/video/7640564312607657218
Documentaire,13,2026-06-06,893,,(documentaire),,https://www.tiktok.com/@seggfaye/video/7648385746709105942
1M,1,2026-02-26,,produits/arraw-dugup.html,Le secret viral LAKHOU YAPP [déjà fiche arraw],,https://www.tiktok.com/@seggfaye/video/7611102954514418966
1M,2,2026-03-10,806,blog/thiakry-degue-dessert-senegalais.html,Durant le ramadan le THIACKRY idéal pour vos iftar,,https://www.tiktok.com/@seggfaye/video/7615584152640834838
1M,3,2026-03-12,,categories/poissons-frais.html,"Poissons du Thieb en Wolof, noms poissons tcheb",,https://www.tiktok.com/@seggfaye/video/7616449561929731350
1M,4,2026-03-19,1440,,Le meilleur dessert du monde,,https://www.tiktok.com/@seggfaye/video/7618956338470735126
1M,5,2026-03-25,,,La prophétie virale de Bello (chanson),,https://www.tiktok.com/@seggfaye/video/7621151661800688918
1M,6,2026-03-30,,,"Le grondin volant ou guinar Gueth, poisson rare",,https://www.tiktok.com/@seggfaye/video/7623059020634508566
1M,7,2026-03-29,698,,Visitez le Lac Rose au Sénégal,,https://www.tiktok.com/@seggfaye/video/7622722630344281366
1M,8,2026-04-02,,,Grain détaché en 3 gestes [déjà fiche thieb],,https://www.tiktok.com/@seggfaye/video/7624218752728550678
1M,9,2026-04-04,,produits/sauce-netetu-beugeuc.html,Le Netetou ou soumbala 100% naturel,fiche netetu-barre 13/06/2026,https://www.tiktok.com/@seggfaye/video/7624958393408654614
1M,10,2026-04-10,,produits/bouye-baobab.html,"HuileDeBaobab Dior la vend 80€, ta grand-mère presque rien",,https://www.tiktok.com/@seggfaye/video/7627036017400220950
1M,11,2026-04-13,,saloum/ (page Saloum),Rythmes et chants culture sérère sur pirogue [Saloum],,https://www.tiktok.com/@seggfaye/video/7628119044574498070
1M,12,2026-04-12,87900,produits/sauce-netetu-beugeuc.html,"Le soumbala: la fabrique de Awa [PEPITE 88K, déjà fiche netetou? non]",,https://www.tiktok.com/@seggfaye/video/7627725874951114006
1M,13,2026-04-14,1575,,Trouvez le nom de cet arbre mythique,,https://www.tiktok.com/@seggfaye/video/7628493308146322710
1M,14,2026-04-14,,produits/yoxos.html,La récolte huître militante éco-système [Saloum],,https://www.tiktok.com/@seggfaye/video/7628528744029867286
1M,15,2026-04-19,,saloum/ (page Saloum),La mission d'une femme pour sauver les mangroves [Saloum],,https://www.tiktok.com/@seggfaye/video/7630405205112196374
1M,16,2026-04-19,,produits/yoxos.html,La philosophie d'une femme ostréicultrice [Saloum],,https://www.tiktok.com/@seggfaye/video/7630436692012338454
1M,17,2026-04-21,,,cacao-chocolat texture parfaite sans usine,,https://www.tiktok.com/@seggfaye/video/7631129001544682774
1M,18,2026-04-24,,blog/thiakry-degue-dessert-senegalais.html,thiakry-mangue [déjà fiche/blog thiakry],,https://www.tiktok.com/@seggfaye/video/7632384949642890518
1M,19,2026-04-28,,produits/pagne.html,"poundakh cipakh version wolof, 100g 6 euros",,https://www.tiktok.com/@seggfaye/video/7633750298409897238
1M,20,2026-04-07,113300,(maad - pas de fiche),Expert bienfaits des maad pour le libido [PEPITE 113K],,https://www.tiktok.com/@seggfaye/video/7626066641402547478
1M,21,2026-04-20,51500,,"(viral 51,5K)",,https://www.tiktok.com/@seggfaye/video/7630903131307576598
1M,22,2026-05-09,,produits/yoxos.html,coque-pagne les coques nourrissent les Îles du Saloum [Saloum],,https://www.tiktok.com/@seggfaye/video/7637930868211830019
1M,23,2026-05-11,,,sardines-maison à la sauce tomate,,https://www.tiktok.com/@seggfaye/video/7638688963481357590
1M,24,2026-05-13,,produits/yeet-maggi.html,Yeet-cymbium frais [déjà fiche yeet],,https://www.tiktok.com/@seggfaye/video/7639317713936207126
1M,25,2026-05-15,,produits/sauce-netetu-beugeuc.html,Omelette-netetou plat local,,https://www.tiktok.com/@seggfaye/video/7640064758858648854
1M,26,2026-05-17,,produits/yeet-maggi.html,yeet-cymbium version anglaise (giant sea snail),,https://www.tiktok.com/@seggfaye/video/7640819325812608278
1M,27,2026-05-20,592,,(viral),,https://www.tiktok.com/@seggfaye/video/7641910791813418262
1M,28,2026-06-06,,(niankatang - futur article),niankatang diola riz blanc,,https://www.tiktok.com/@seggfaye/video/7648218825212595478
1M,29,2026-06-08,,produits/yoxos.html,Le secret de l'or gris des Îles du Saloum [Saloum],,https://www.tiktok.com/@seggfaye/video/7649021547423796502
1M,30,2026-06-09,,categories/poissons-frais.html,Les noms des poissons en wolof pour ton thiéb,,https://www.tiktok.com/@seggfaye/video/7649508369547398422
