rang_playlist,date,vues,produits,note,statut,lien
1,2025-02-10,2070,pack saloum+pack guedj+pack fouta,colis arrivé Birmingham 11/02/2025 (overlay),fiche pack-saloum 12/06/2026,https://www.tiktok.com/@seggfaye/video/7469840503480110358
2,2025-02-06,1860,pack saloum+pack guedj+pack fouta,colis arrivé Nantes 16/02/2025 (overlay),fiche pack-saloum 12/06/2026,https://www.tiktok.com/@seggfaye/video/7468234947883568406
3,2024-12-07,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7445606933270170903
4,2024-11-02,,pack saloum+pack guedj+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7432649183934303521
5,2025-05-06,1475,,,,https://www.tiktok.com/@seggfaye/video/7501356259837299990
6,2025-05-06,1395,,canada,,https://www.tiktok.com/@seggfaye/video/7501299900768980246
7,2025-04-22,1856,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7496097282828373270
8,2025-02-23,,pack saloum+pack fouta+thiebou kethiakh,,,https://www.tiktok.com/@seggfaye/video/7474656343933062422
9,2024-08-11,2590,pack saloum+crevettes,,fiche crevettes-sechees 12/06/2026,https://www.tiktok.com/@seggfaye/video/7401999164416068897
10,2024-08-09,,pack saloum+crevettes+netetou+yokhos,uk,,https://www.tiktok.com/@seggfaye/video/7401075160897375521
11,2025-02-21,1377,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7473849114485165334
12,2025-02-04,1435,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7467624854531869974
13,2024-09-28,,pack saloum+crevettes+netetou+live,norvege danemark suede,,https://www.tiktok.com/@seggfaye/video/7419736842158804257
14,2025-04-25,5977,pack saloum+pack c bon+pack fouta,TOP VUES,,https://www.tiktok.com/@seggfaye/video/7497148119293889814
15,2025-04-07,1488,pack c bon+pack fouta+maad,,,https://www.tiktok.com/@seggfaye/video/7490512181801307414
16,2025-02-26,1915,,cejour-la,,https://www.tiktok.com/@seggfaye/video/7475626212333735190
17,2025-02-25,2538,pack saloum+pack fouta,domada,,https://www.tiktok.com/@seggfaye/video/7475256761075682582
18,2025-02-07,1809,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7468812724663897366
19,2025-01-18,1518,pack saloum+pack guedj+netetou+live,guejiyass,,https://www.tiktok.com/@seggfaye/video/7461370224013626646
20,2024-11-16,1003,pack saloum+pack guedj+pack c bon+live,scandinavie finlande uk,,https://www.tiktok.com/@seggfaye/video/7437794700553178401
21,2024-03-01,3132,,,,https://www.tiktok.com/@seggfaye/video/7341448143172668705
22,2025-05-19,38700,,"38,7K VUES — à identifier",,https://www.tiktok.com/@seggfaye/video/7506099791307279638
23,2025-04-11,1438,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7492056309781613846
24,2025-03-05,2474,pack saloum+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7478301364532088086
25,2025-02-11,2683,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7470086627390541078
26,2024-11-16,1197,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7437802239839767840
27,2024-11-16,999,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7437799473608215840
28,2024-11-16,954,pack saloum+pack guedj+pack c bon+live,,,https://www.tiktok.com/@seggfaye/video/7437791722970680608
29,2024-10-06,,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7422755130467978529
30,2025-05-22,1224,,,,https://www.tiktok.com/@seggfaye/video/7507244059598097686
31,2025-02-23,2013,,,,https://www.tiktok.com/@seggfaye/video/7474568358277434646
32,2025-02-06,1680,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7468188531320524054
33,2024-12-24,1432,pack guedj+pack c bon+live,,,https://www.tiktok.com/@seggfaye/video/7452027161059282198
34,2024-12-13,2059,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7447786704997534998
35,2024-11-16,1280,pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7437922792533675297
36,2024-10-18,,pack saloum+pack guedj,,,https://www.tiktok.com/@seggfaye/video/7426978911692606752
37,2025-05-03,1477,,,,https://www.tiktok.com/@seggfaye/video/7500161760079482134
38,2025-04-10,1561,pack c bon+pack fouta+maad,,,https://www.tiktok.com/@seggfaye/video/7491572138130820374
39,2025-01-13,1111,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7459425070759283990
40,2024-12-27,1386,live,,,https://www.tiktok.com/@seggfaye/video/7453094799311195414
41,2025-02-10,,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7469843017889762582
42,2025-02-03,1340,pack saloum+pack guedj+pack fouta+live,,,https://www.tiktok.com/@seggfaye/video/7467311183033371926
43,2025-04-22,1276,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7496094956260461846
44,2025-03-19,2113,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7483546263036693782
45,2025-03-11,1598,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7480444134386322710
46,2025-02-23,,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7474660311983836438
47,2024-11-29,2207,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7442671513309809953
48,2024-11-27,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7442044061894167830
49,2024-10-05,1505,pack saloum+crevettes,,,https://www.tiktok.com/@seggfaye/video/7422322944262606113
50,2024-08-11,,pack saloum+crevettes+netetou+yokhos,,,https://www.tiktok.com/@seggfaye/video/7401994314512977184
51,2024-11-07,,pack saloum+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7434464460485496096
52,2024-10-24,,pack saloum+pack guedj+live,,,https://www.tiktok.com/@seggfaye/video/7429369881042242849
53,2024-08-10,,pack saloum+crevettes+netetou+yokhos,,,https://www.tiktok.com/@seggfaye/video/7401433431973858593
54,2024-08-07,2462,crevettes+netetou+yokhos,,,https://www.tiktok.com/@seggfaye/video/7400518788963241248
55,2025-03-12,,pack saloum+pack c bon+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7480921517497273622
56,2025-01-15,1085,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7460180535130770710
57,2024-12-13,1659,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7447785275993902358
58,2024-11-08,,pack saloum+pack guedj+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7434971052247125280
59,2025-02-25,,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7475254764897307926
60,2025-02-23,1500,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7474654932096929046
61,2025-02-03,1476,pack saloum+pack guedj+pack fouta+live,,,https://www.tiktok.com/@seggfaye/video/7467312764562853142
62,2024-11-01,,pack saloum+pack guedj+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7432243324532149536
63,2025-04-22,2543,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7496099108638264598
64,2025-03-29,1581,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7487305936063761686
65,2025-03-11,2320,pack saloum+pack c bon+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7480444275965152534
66,2025-03-31,1097,pack saloum+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7488026307360460054
67,2025-01-16,1385,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7460627078594006294
68,2025-01-13,1459,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7459426813794635030
69,2024-03-10,4108,crevettes,GROS RETOUR crevettes,fiche crevettes-sechees 12/06/2026,https://www.tiktok.com/@seggfaye/video/7344573853718416673
70,2024-11-22,1630,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7440199530038988064
71,2024-11-16,1209,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7437798127056211233
72,2025-04-12,1353,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7492406190132006166
73,2025-03-10,1380,,,,https://www.tiktok.com/@seggfaye/video/7480245406744562966
74,2025-03-03,2299,,,,https://www.tiktok.com/@seggfaye/video/7477422304071404822
75,2024-12-13,1854,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7447926282513304854
76,2024-11-23,1584,pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7440446223573601569
77,2024-08-19,2539,pack saloum+crevettes+netetou,,,https://www.tiktok.com/@seggfaye/video/7404876053769981217
78,2025-05-21,1409,,,,https://www.tiktok.com/@seggfaye/video/7506999277852495127
79,2025-04-18,2750,,ngourbane national,,https://www.tiktok.com/@seggfaye/video/7494530122851142934
80,2025-04-12,1890,pack saloum+pack c bon+pack fouta+maad,,,https://www.tiktok.com/@seggfaye/video/7492399526087707926
81,2025-03-01,1886,,,,https://www.tiktok.com/@seggfaye/video/7476752431766834454
82,2024-01-30,4305,,"à identifier (4,3K vues)",,https://www.tiktok.com/@seggfaye/video/7329918532559424801
83,2025-05-17,2003,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7505353638206917910
84,2025-01-19,2147,,,,https://www.tiktok.com/@seggfaye/video/7461660683805953302
85,2024-12-05,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7444887691906387222
86,2024-03-03,3949,,"à identifier (3,9K vues)",,https://www.tiktok.com/@seggfaye/video/7342100861595716896
87,2024-11-25,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7441116652676205856
88,2024-10-17,,pack saloum+pack guedj,,,https://www.tiktok.com/@seggfaye/video/7426695200799477025
89,2024-02-23,5229,crevettes,"GROS RETOUR crevettes (5,2K vues)",,https://www.tiktok.com/@seggfaye/video/7338865199564295457
90,2025-05-21,1302,,,,https://www.tiktok.com/@seggfaye/video/7506853487624375574
91,2025-02-17,1913,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7472296537243110678
92,2025-01-29,2326,pack saloum+pack guedj+crevettes,,,https://www.tiktok.com/@seggfaye/video/7465363369629928726
93,2025-01-25,3091,pack saloum+live,,,https://www.tiktok.com/@seggfaye/video/7463961462537506070
94,2025-02-20,1353,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7473469774224297238
95,2025-04-23,2813,pack saloum+pack c bon+pack fouta,diwnior,,https://www.tiktok.com/@seggfaye/video/7496606833688317206
96,2025-02-20,1133,,,,https://www.tiktok.com/@seggfaye/video/7473558012565785878
97,2025-05-23,2454,,,,https://www.tiktok.com/@seggfaye/video/7507646952629226774
98,2025-05-26,1936,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7508643286953823510
99,2025-05-23,1097,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7507701247424793878
100,2025-06-04,1884,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7512207549018508566
101,2025-06-04,1361,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7512205823662116118
102,2025-06-04,2139,pack saloum,diola eva,,https://www.tiktok.com/@seggfaye/video/7512203784160906519
103,2025-06-09,1399,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7513935756214209814
104,2025-06-06,1690,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7512912322277428502
105,2025-06-05,2324,pack saloum+pack fouta,Mouhamed Pouye,,https://www.tiktok.com/@seggfaye/video/7512504403304221974
